protocol,ablation,seed,target_path,expected_direction,first_post_trial,first_post_tick,target_prob,target_prob_wins,target_choice,target_local_bonus,mode,gate_trigger,h_risk,h_opp,q_neg,q_pos,safe_drive,one_shot_type
shock,full,59,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3134644284696528,0.27898882770771566,1.3719999999999999,0.0,0.3653857713878611,none
shock,full,60,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28960615511461035,0.27887791618394947,1.3719999999999999,0.0,0.35584246204584413,none
shock,full,61,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.31347856427051185,0.27782902060389414,1.3719999999999999,0.0,0.3653914257082047,none
shock,full,62,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3047069050166903,0.2790751456472727,1.3719999999999999,0.0,0.36188276200667613,none
shock,full,63,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3083889698602347,0.2779674611153662,1.3719999999999999,0.0,0.36335558794409384,none
shock,full,64,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.305232802989037,0.2796482554328379,1.3719999999999999,0.0,0.36209312119561476,none
shock,full,65,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2829131419881759,0.2781759162369146,1.3719999999999999,0.0,0.35316525679527033,none
shock,full,66,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3059207026758661,0.2795640434108917,1.3719999999999999,0.0,0.3623682810703464,none
shock,full,67,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2970526328269625,0.2789563976842703,1.3719999999999999,0.0,0.358821053130785,none
shock,full,68,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.31183395093184324,0.2791019351552901,1.3719999999999999,0.0,0.3647335803727373,none
shock,full,69,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.28486963252237657,0.2787713545360718,1.3719999999999999,0.0,0.3539478530089506,none
shock,full,70,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.31597997658506244,0.2789186433065113,1.3719999999999999,0.0,0.36639199063402494,none
shock,full,71,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2946723004022771,0.2781960106732351,1.3719999999999999,0.0,0.3578689201609108,none
shock,full,72,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2953051621232707,0.27707279441590216,1.3719999999999999,0.0,0.35812206484930825,none
shock,full,73,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2982717109824643,0.27826592570081976,1.3719999999999999,0.0,0.3593086843929857,none
shock,full,74,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3031936226925531,0.2788813506826043,1.3719999999999999,0.0,0.36127744907702125,none
shock,full,75,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.30571692928264504,0.2795682653281967,1.3719999999999999,0.0,0.362286771713058,none
shock,full,76,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29523694757228425,0.2784214654509435,1.3719999999999999,0.0,0.3580947790289137,none
shock,full,77,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.30609178503050366,0.278223412922566,1.3719999999999999,0.0,0.36243671401220146,none
shock,full,78,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.28922359637336514,0.27955403605087714,1.3719999999999999,0.0,0.35568943854934604,none
shock,full,79,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.30189801672928634,0.2775605334225364,1.3719999999999999,0.0,0.3607592066917145,none
shock,full,80,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3085227778007691,0.27914922267157016,1.3719999999999999,0.0,0.3634091111203076,none
shock,full,81,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28591427928747093,0.27820438487349664,1.3719999999999999,0.0,0.3543657117149884,none
shock,full,82,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.31811592519436804,0.2783128905490674,1.3719999999999999,0.0,0.3672463700777472,none
shock,full,83,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29917827884757336,0.27836699047684765,1.3719999999999999,0.0,0.3596713115390293,none
shock,full,84,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28591819531266066,0.27942611905209835,1.3719999999999999,0.0,0.35436727812506424,none
shock,full,85,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29669161928534366,0.2796174771542482,1.3719999999999999,0.0,0.35867664771413743,none
shock,full,86,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3052682592210755,0.2795878413834716,1.3719999999999999,0.0,0.3621073036884302,none
shock,full,87,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28625007125056684,0.2782172183793955,1.3719999999999999,0.0,0.3545000285002267,none
shock,full,88,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2905461166186435,0.27924703063784573,1.3719999999999999,0.0,0.3562184466474574,none
shock,full,89,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3040190234621917,0.2772149149533727,1.3719999999999999,0.0,0.3616076093848767,none
shock,full,90,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.29359458760474527,0.2791950658838812,1.3719999999999999,0.0,0.3574378350418981,none
shock,full,91,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.283779178605701,0.27804374206008764,1.3719999999999999,0.0,0.3535116714422804,none
shock,novg,42,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,43,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,44,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
shock,novg,45,open,negative,31,2,0.00923936322372885,False,False,0.0,exploit_safe,threat_override (safe_drive from current + temporal risk),0.25754953619560433,0.2685947514704173,1.3719999999999999,0.0,0.4,none
