example_type,run_id,seed,trial,committed_path,raw_idphi,z_idphi,pause_ticks,reorientation_count,vte_binary,pose_source
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,8,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,8,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,8,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,8,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,8,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,18,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,22,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,36,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,40,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
