seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,commit_reason,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
71,0,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
71,1,open,1.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
71,2,open,0.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
71,3,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,4,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,5,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
71,6,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
71,7,covered,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
71,8,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,9,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
71,10,open,0.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
71,11,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,12,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
71,13,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
71,14,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
71,15,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
71,16,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
71,17,covered,0.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
71,18,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,19,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full
71,20,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
71,21,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
71,22,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
71,23,open,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
71,24,open,0.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
71,25,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
71,26,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
71,27,open,0.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
71,28,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
71,29,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,30,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
71,31,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
71,32,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,33,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
71,34,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
